Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint 75th Ave Phoenix,175847118,2026-01-12T22:08:03.83,Retail,In Store,Walk In,46989639,2,No,46525,Salina Lyon,REGISTER-08 PM,15,3,12,3.01,0,15.01,1,15.01,0,0,0,0,15.01,0,,,No,No,No,,175847118,42016421-ac63-45c3-9d07-4b965d51b63b
Mint 75th Ave Phoenix,175847132,2026-01-12T22:09:35.107,Retail,In Store,Walk In,43654206,2,No,46525,Salina Lyon,REGISTER-08 PM,25,15,10,2.51,0,12.51,1,15,0,0,0,0,15,2.5,0.01,0,No,No,No,,175847132,9d869a69-b051-47f9-9f44-9315212dd3bb
Mint 75th Ave Phoenix,175847139,2026-01-12T22:10:57.947,Retail,In Store,Walk In,45621490,2,No,57778,Maximus Mercado,REGISTER-07 PM,64,16,48,12.05,0,60.05,4,61,0,0,0,0,61,0.95,0.05,0,No,No,No,,175847139,99bba829-085a-4ba2-9a62-3b850623b090
Mint 75th Ave Phoenix,175847147,2026-01-12T22:11:23.773,Retail,In Store,Walk In,33651414,2,No,46525,Salina Lyon,REGISTER-08 PM,8,0,8,2.01,0,10.01,1,10.01,0,0,0,0,10.01,0,0.01,0,No,No,No,,175847147,4e22a342-bb8e-4614-9b73-3b8189368c15
Mint 75th Ave Phoenix,175847178,2026-01-12T22:23:17.063,Retail,In Store,Walk In,29868804,2,No,57778,Maximus Mercado,REGISTER-07 PM,25,5,20,5.02,0,25.02,1,25.02,0,0,0,0,25.02,0,0.02,0,No,No,No,,175847178,df265502-9f2f-409f-8e54-ea0b785b4b83
Mint 75th Ave Phoenix,175847182,2026-01-12T22:19:50.763,Retail,In Store,Walk In,21233938,2,No,46525,Salina Lyon,REGISTER-08 PM,120,60,60,15.06,0,75.06,2,76,0,0,0,0,76,0.95,,,No,No,No,,175847182,6fa347d1-f158-40cd-91a9-6b354a0f11fd
Mint 75th Ave Phoenix,175847200,2026-01-12T22:23:20.077,Retail,In Store,Walk In,46021619,2,No,46525,Salina Lyon,REGISTER-08 PM,44,17.25,26.75,6.71,0,33.46,2,40,0,0,0,0,40,6.55,,,No,No,No,,175847200,de129041-6e6d-4d76-b996-cff1dc3a0bf4
Mint 75th Ave Phoenix,175847209,2026-01-12T22:24:40.173,Retail,In Store,Walk In,47035513,2,No,57778,Maximus Mercado,REGISTER-07 PM,15,0,15,3.77,0,18.77,1,20,0,0,0,0,20,1.25,,,No,No,No,,175847209,fde679a7-6c3a-4ce6-8d27-8ed3b486e899
Mint 75th Ave Phoenix,175847239,2026-01-12T22:28:11.473,Retail,In Store,Walk In,31883498,2,No,46525,Salina Lyon,REGISTER-08 PM,76,17.3,58.7,14.73,0,73.43,5,75,0,0,0,0,75,1.55,0.06,0,No,No,No,,175847239,0d1ec62a-496f-494d-8f35-484a82d5caf6
Mint 75th Ave Phoenix,175847266,2026-01-12T22:29:43.733,Retail,In Store,Walk In,16722688,2,No,57778,Maximus Mercado,REGISTER-07 PM,20,3,17,4.27,0,21.27,1,21.27,0,0,0,0,21.27,0,0.02,0,No,No,No,,175847266,1a12dcc0-0848-41ba-8509-f5c00a89f043
Mint 75th Ave Phoenix,175847269,2026-01-12T22:31:03.31,Retail,In Store,Walk In,32865928,2,No,46525,Salina Lyon,REGISTER-08 PM,53,29,24,6.02,0,30.02,3,30.02,0,0,0,0,30.02,0,,,No,No,No,,175847269,227005dc-574b-4ced-8d22-7ea36ed73f8e
Mint 75th Ave Phoenix,175847286,2026-01-12T22:32:36.487,Retail,In Store,Walk In,33747547,2,No,46525,Salina Lyon,REGISTER-08 PM,20,5,15,3.77,0,18.77,1,20,0,0,0,0,20,1.25,0.02,0,No,No,No,,175847286,5fe34c34-235a-452b-9cac-dfef40396e19
Mint 75th Ave Phoenix,175847290,2026-01-12T22:34:42.41,Retail,In Store,Walk In,16748135,2,No,57778,Maximus Mercado,REGISTER-07 PM,197,89,108,27.11,0,135.11,7,140,0,0,0,0,140,4.9,0.11,0,No,No,No,,175847290,44037437-58fc-42d2-bab8-a71fbe83f035
Mint 75th Ave Phoenix,175847305,2026-01-12T22:37:22.823,Retail,In Store,Walk In,35233258,2,No,46525,Salina Lyon,REGISTER-08 PM,200,105,95,23.85,0,118.85,8,120,0,0,0,0,120,1.15,0.1,0,No,No,No,,175847305,db05a00f-295d-4b8b-95aa-fbf2a3e4cd3a
Mint 75th Ave Phoenix,175847320,2026-01-12T22:37:33.127,Retail,In Store,Walk In,46876013,2,No,57778,Maximus Mercado,REGISTER-07 PM,50,10,40,10.04,0,50.04,2,60,0,0,0,0,60,9.95,,,No,No,No,,175847320,b7d08e9c-897c-4b6e-938e-43a2c8b542b1
Mint 75th Ave Phoenix,175847366,2026-01-12T22:48:08.977,Retail,In Store,Walk In,46074499,2,No,46525,Salina Lyon,REGISTER-08 PM,29,13,16,4.02,0,20.02,2,20.02,0,0,0,0,20.02,0,0.02,0,No,No,No,,175847366,11ba92cb-9304-4162-9d2d-68a711dacd3e
Mint 75th Ave Phoenix,175847368,2026-01-12T22:45:24.417,Retail,In Store,Walk In,46877547,2,No,46525,Salina Lyon,REGISTER-08 PM,75,30,45,11.3,0,56.3,4,60,0,0,0,0,60,3.7,0.05,0,No,No,No,,175847368,965df974-1ef8-458a-b901-5cedda6bbc91
Mint 75th Ave Phoenix,175847374,2026-01-12T22:46:53.37,Retail,In Store,Walk In,40499356,2,No,57778,Maximus Mercado,REGISTER-07 PM,45,20,25,6.28,0,31.28,1,40,0,0,0,0,40,8.7,,,No,No,No,,175847374,a1fcbae2-9d76-454d-af52-259e599dba74
Mint 75th Ave Phoenix,175847386,2026-01-12T22:53:26.717,Retail,In Store,Walk In,28397372,1,Yes,51702,Sam Gilligan,REGISTER-16 PM,90,36,54,4.91,0,58.91,2,60,0,0,0,0,60,1.1,0.05,0,No,No,No,,175847386,34eaaf8e-3092-4891-8b97-46db9abad778
